Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
Shyy,KRÜ,https://www.vlr.gg/player/24007/shyy,Americas,428006,195809,SplitPICK,bo1,1.03,190,11,10,6,1.1,87%,134,16%,1,1
pryze,2G,https://www.vlr.gg/player/662/pryze,Americas,428006,195809,SplitPICK,bo1,1.10,256,13,12,4,1.08,93%,172,27%,1,0
gobera,2G,https://www.vlr.gg/player/14950/gobera,Americas,428006,195809,SplitPICK,bo1,0.89,190,10,12,7,0.83,87%,116,29%,1,1
silentzz,2G,https://www.vlr.gg/player/11921/silentzz,Americas,428006,195809,SplitPICK,bo1,0.79,210,10,14,3,0.71,60%,124,37%,4,3
lz,2G,https://www.vlr.gg/player/6195/lz,Americas,428006,195809,SplitPICK,bo1,0.61,133,7,13,3,0.54,53%,102,41%,3,1
Zap,2G,https://www.vlr.gg/player/3169/zap,Americas,428006,195809,SplitPICK,bo1,0.55,138,5,14,10,0.36,60%,105,14%,0,1
eeiu,100T,https://www.vlr.gg/player/796/eeiu,Americas,428005,195805,LotusPICK,bo1,1.51,232,26,12,7,2.17,96%,143,31%,2,0
zander,100T,https://www.vlr.gg/player/8082/zander,Americas,428005,195805,LotusPICK,bo1,1.03,193,17,16,8,1.06,69%,112,22%,4,3
Asuna,100T,https://www.vlr.gg/player/601/asuna,Americas,428005,195805,LotusPICK,bo1,1.03,230,20,18,6,1.11,69%,162,33%,3,7
Cryocells,100T,https://www.vlr.gg/player/4147/cryocells,Americas,428005,195805,LotusPICK,bo1,0.99,229,19,20,9,0.95,85%,156,28%,4,2
Boostio,100T,https://www.vlr.gg/player/604/boostio,Americas,428005,195805,LotusPICK,bo1,0.46,60,4,17,11,0.24,69%,38,9%,0,1
mada,NRG,https://www.vlr.gg/player/5132/mada,Americas,428005,195805,LotusPICK,bo1,1.23,253,20,18,9,1.11,77%,169,11%,7,7
