Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
Lakia,GEN,https://www.vlr.gg/player/773/lakia,Pacific,595654,all,,0.84,169,41,53,28,0.77,72%,120,26%,5,5,bo3
Ash,GEN,https://www.vlr.gg/player/25017/ash,Pacific,595654,all,,0.84,132,34,48,38,0.71,76%,82,21%,3,5,bo3
t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,Pacific,595654,all,,0.83,205,57,61,9,0.93,62%,131,25%,11,15,bo3
Killua,FS,https://www.vlr.gg/player/13784/killua,Pacific,595655,all,,1.03,217,28,29,9,0.97,76%,146,42%,1,4,bo3
Leviathan,FS,https://www.vlr.gg/player/27254/leviathan,Pacific,595655,all,,0.87,182,26,28,9,0.93,79%,132,43%,0,4,bo3
JitBoyS,FS,https://www.vlr.gg/player/13788/jitboys,Pacific,595655,all,,0.67,141,17,31,14,0.55,76%,99,25%,4,4,bo3
primmie,FS,https://www.vlr.gg/player/25255/primmie,Pacific,595655,all,,0.65,202,27,35,2,0.77,66%,133,31%,5,8,bo3
thyy,FS,https://www.vlr.gg/player/42901/thyy,Pacific,595655,all,,0.54,131,16,31,7,0.52,63%,89,37%,2,5,bo3
free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,Pacific,595655,all,,1.47,227,33,15,9,2.2,79%,143,45%,5,3,bo3
HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,Pacific,595655,all,,1.47,290,40,24,7,1.67,82%,175,23%,9,2,bo3
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Pacific,595655,all,,1.26,236,31,24,18,1.29,82%,157,21%,4,2,bo3
BeYN,KRX,https://www.vlr.gg/player/4678/beyn,Pacific,595655,all,,1.02,188,27,24,12,1.12,84%,121,37%,5,2,bo3
Hermes,KRX,https://www.vlr.gg/player/17049/hermes,Pacific,595655,all,,0.8,145,18,27,19,0.67,82%,100,24%,2,3,bo3
Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,Pacific,595656,all,,1.03,206,49,49,14,1.0,74%,140,19%,11,7,bo3
invy,PRX,https://www.vlr.gg/player/8504/invy,Pacific,595656,all,,1.01,181,47,46,18,1.02,74%,122,38%,2,8,bo3
f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,Pacific,595656,all,,1.0,217,50,49,24,1.02,66%,135,26%,8,7,bo3
d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,Pacific,595656,all,,0.97,188,45,48,12,0.94,68%,127,26%,6,5,bo3
something,PRX,https://www.vlr.gg/player/17086/something,Pacific,595656,all,,0.95,196,48,48,16,1.0,69%,123,18%,7,7,bo3
PatMen,GE,https://www.vlr.gg/player/13744/patmen,Pacific,595656,all,,1.28,255,64,45,9,1.42,69%,161,30%,5,5,bo3
Kr1stal,GE,https://www.vlr.gg/player/5796/kr1stal,Pacific,595656,all,,1.15,196,50,41,18,1.22,76%,134,29%,6,3,bo3
Autumn,GE,https://www.vlr.gg/player/872/autumn,Pacific,595656,all,,0.94,202,47,49,9,0.96,72%,129,19%,10,9,bo3
xavi8k,GE,https://www.vlr.gg/player/7754/xavi8k,Pacific,595656,all,,0.79,169,41,52,19,0.79,66%,111,26%,5,8,bo3
UdoTan,GE,https://www.vlr.gg/player/4428/udotan,Pacific,595656,all,,0.78,183,38,52,14,0.73,69%,121,20%,8,9,bo3
HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,Pacific,595657,all,,1.05,252,60,54,14,1.11,65%,162,38%,12,15,bo3
Hermes,KRX,https://www.vlr.gg/player/17049/hermes,Pacific,595657,all,,0.98,196,46,49,20,0.94,63%,128,27%,6,8,bo3
free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,Pacific,595657,all,,0.91,163,38,44,15,0.86,66%,111,32%,3,9,bo3
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Pacific,595657,all,,0.9,183,43,48,16,0.9,72%,114,32%,3,6,bo3
BeYN,KRX,https://www.vlr.gg/player/4678/beyn,Pacific,595657,all,,0.81,160,35,50,17,0.7,65%,112,23%,2,4,bo3
d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,Pacific,595657,all,,1.15,222,54,45,15,1.2,76%,148,21%,12,6,bo3
something,PRX,https://www.vlr.gg/player/17086/something,Pacific,595657,all,,1.14,211,57,41,4,1.39,68%,137,30%,9,8,bo3
Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,Pacific,595657,all,,1.11,205,47,43,20,1.09,78%,135,27%,5,3,bo3
invy,PRX,https://www.vlr.gg/player/8504/invy,Pacific,595657,all,,1.01,196,44,45,30,0.98,74%,128,38%,8,3,bo3
f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,Pacific,595657,all,,0.93,187,43,48,22,0.9,75%,125,29%,8,6,bo3
Akame,DFM,https://www.vlr.gg/player/13002/akame,Pacific,595649,all,,1.36,226,35,26,13,1.35,79%,145,25%,4,1,bo3
Meiy,DFM,https://www.vlr.gg/player/6672/meiy,Pacific,595649,all,,1.01,226,32,33,14,0.97,67%,154,27%,4,9,bo3
yatsuka,DFM,https://www.vlr.gg/player/29843/yatsuka,Pacific,595649,all,,0.9,186,29,32,9,0.91,70%,114,26%,5,4,bo3
Caedye,DFM,https://www.vlr.gg/player/29841/caedye,Pacific,595649,all,,0.77,177,26,37,8,0.7,63%,118,34%,7,5,bo3
SSeeS,DFM,https://www.vlr.gg/player/21438/ssees,Pacific,595649,all,,0.6,115,17,31,15,0.55,60%,73,29%,0,4,bo3
