Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
LuoK1ng,TE,https://www.vlr.gg/player/3045/luok1ng,CN,506950,all,,bo1,0.76,145,36,45,21,0.8,74%,89,31%,9,4
Spring,WOL,https://www.vlr.gg/player/14125/spring,CN,506951,all,,bo1,1.35,237,60,49,20,1.22,71%,163,27%,13,8
SiuFatBB,WOL,https://www.vlr.gg/player/7849/siufatbb,CN,506951,all,,bo1,1.21,180,48,44,29,1.09,84%,116,27%,0,5
Lysoar,WOL,https://www.vlr.gg/player/37489/lysoar,CN,506951,all,,bo1,1.15,231,62,52,21,1.19,73%,156,19%,6,0
Yuicaw,WOL,https://www.vlr.gg/player/11218/yuicaw,CN,506951,all,,bo1,1.13,195,46,56,33,0.82,78%,128,32%,8,7
Juicy,WOL,https://www.vlr.gg/player/7426/juicy,CN,506951,all,,bo1,0.80,179,46,52,15,0.88,77%,114,24%,16,10
Nicc,DRG,https://www.vlr.gg/player/11524/nicc,CN,506951,all,,bo1,1.01,176,47,47,23,1.0,70%,122,38%,2,3
Flex1n,DRG,https://www.vlr.gg/player/4705/flex1n,CN,506951,all,,bo1,0.98,203,52,48,42,1.08,75%,133,28%,1,12
vo0kashu,DRG,https://www.vlr.gg/player/3741/vo0kashu,CN,506951,all,,bo1,0.93,194,51,50,16,1.02,75%,131,24%,6,6
SpiritZ1,DRG,https://www.vlr.gg/player/31753/spiritz1,CN,506951,all,,bo1,0.87,223,57,58,14,0.98,64%,153,39%,12,10
Akeman,DRG,https://www.vlr.gg/player/52904/akeman,CN,506951,all,,bo1,0.82,187,45,60,21,0.75,59%,122,21%,9,12
happywei,XLG,https://www.vlr.gg/player/37927/happywei,CN,506952,all,,bo1,,238,38,28,8,1.36,,,,,
Rarga,XLG,https://www.vlr.gg/player/22047/rarga,CN,506952,all,,bo1,,226,40,33,7,1.21,,,,,
Viva,XLG,https://www.vlr.gg/player/36415/viva,CN,506952,all,,bo1,,171,30,28,10,1.07,,,,,
NoMan,XLG,https://www.vlr.gg/player/11527/noman,CN,506952,all,,bo1,,166,29,29,6,1.0,,,,,
coconut,XLG,https://www.vlr.gg/player/12365/coconut,CN,506952,all,,bo1,,151,24,28,26,0.86,,,,,
Life,FPX,https://www.vlr.gg/player/3028/life,CN,506952,all,,bo1,,213,35,34,7,1.03,,,,,
AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,CN,506952,all,,bo1,,194,30,30,12,1.0,,,,,
yosemite,FPX,https://www.vlr.gg/player/6022/yosemite,CN,506952,all,,bo1,,184,30,29,4,1.03,,,,,
Autumn,FPX,https://www.vlr.gg/player/872/autumn,CN,506952,all,,bo1,,183,30,36,12,0.83,,,,,
