Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
Meteor,GEN,https://www.vlr.gg/player/13039/meteor,Pacific,184488,all,,1.02,221.0,33,32,7,1.03,71%,126.0,13%,7.0,7.0,bo3
Sylvan,GEN,https://www.vlr.gg/player/4056/sylvan,Pacific,184488,all,,0.88,171.0,11,16,8,0.69,70%,117.0,24%,0.0,1.0,bo3
TS,GEN,https://www.vlr.gg/player/983/ts,Pacific,184488,all,,0.87,193.0,26,34,16,0.76,68%,129.0,19%,3.0,6.0,bo3
GodDead,GEN,https://www.vlr.gg/player/4827/goddead,Pacific,184488,all,,0.81,153.0,18,31,21,0.58,61%,106.0,17%,0.0,4.0,bo3
eKo,GEN,https://www.vlr.gg/player/1960/eko,Pacific,184488,all,,0.64,143.0,11,18,8,0.61,71%,91.0,26%,0.0,3.0,bo3
Laz,ZETA,https://www.vlr.gg/player/999/laz,Pacific,184489,all,,1.09,193.0,27,27,15,1.0,69%,124.0,20%,3.0,3.0,bo3
Dep,ZETA,https://www.vlr.gg/player/424/dep,Pacific,184489,all,,0.85,202.0,30,35,5,0.86,62%,131.0,19%,5.0,12.0,bo3
SugarZ3ro,ZETA,https://www.vlr.gg/player/6668/sugarz3ro,Pacific,184489,all,,0.84,162.0,23,33,14,0.7,67%,101.0,28%,3.0,1.0,bo3
crow,ZETA,https://www.vlr.gg/player/1000/crow,Pacific,184489,all,,0.81,147.0,21,33,14,0.64,71%,102.0,19%,1.0,3.0,bo3
TENNN,ZETA,https://www.vlr.gg/player/1395/tennn,Pacific,184489,all,,0.64,159.0,22,35,4,0.63,71%,99.0,22%,2.0,8.0,bo3
something,PRX,https://www.vlr.gg/player/17086/something,Pacific,184489,all,,1.5,239.0,41,18,6,2.28,88%,143.0,26%,9.0,5.0,bo3
f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,Pacific,184489,all,,1.36,273.0,42,27,17,1.56,88%,164.0,22%,4.0,2.0,bo3
d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,Pacific,184489,all,,1.1,187.0,32,24,16,1.33,79%,121.0,29%,1.0,1.0,bo3
mindfreak,PRX,https://www.vlr.gg/player/9800/mindfreak,Pacific,184489,all,,0.93,164.0,25,26,24,0.96,79%,89.0,29%,6.0,4.0,bo3
Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,Pacific,184489,all,,0.87,179.0,23,28,17,0.82,81%,126.0,19%,7.0,2.0,bo3
Lmemore,RRQ,https://www.vlr.gg/player/7764/lmemore,Pacific,184490,all,,1.38,274.0,46,28,13,1.64,79%,178.0,31%,7.0,4.0,bo3
xffero,RRQ,https://www.vlr.gg/player/4871/xffero,Pacific,184490,all,,1.07,180.0,34,30,14,1.13,83%,110.0,22%,1.0,3.0,bo3
2GE,RRQ,https://www.vlr.gg/player/9735/2ge,Pacific,184490,all,,1.07,165.0,16,16,9,1.0,75%,108.0,19%,3.0,2.0,bo3
EJAY,RRQ,https://www.vlr.gg/player/7403/ejay,Pacific,184490,all,,1.03,248.0,41,36,13,1.14,83%,160.0,20%,11.0,8.0,bo3
Emman,RRQ,https://www.vlr.gg/player/9747/emman,Pacific,184490,all,,0.98,211.0,18,18,11,1.0,83%,141.0,26%,2.0,1.0,bo3
fl1pzjder,RRQ,https://www.vlr.gg/player/7045/fl1pzjder,Pacific,184490,all,,0.95,183.0,32,34,29,0.94,74%,115.0,30%,4.0,1.0,bo3
t3xture,GE,https://www.vlr.gg/player/9196/t3xture,Pacific,184490,all,,1.22,236.0,40,35,6,1.14,74%,161.0,42%,3.0,2.0,bo3
Monyet,GE,https://www.vlr.gg/player/8497/monyet,Pacific,184490,all,,0.99,246.0,39,39,10,1.0,70%,151.0,22%,9.0,8.0,bo3
AYRIN,GE,https://www.vlr.gg/player/824/ayrin,Pacific,184490,all,,0.92,176.0,31,37,18,0.84,70%,113.0,17%,4.0,7.0,bo3
Bazzi,GE,https://www.vlr.gg/player/805/bazzi,Pacific,184490,all,,0.83,181.0,27,39,20,0.69,70%,128.0,19%,1.0,4.0,bo3
SkRossi,GE,https://www.vlr.gg/player/4095/skrossi,Pacific,184490,all,,0.59,150.0,25,38,8,0.66,57%,92.0,13%,2.0,7.0,bo3
