Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
xnfri,DFM,https://www.vlr.gg/player/7718/xnfri,Pacific,167349,all,,0.71,151.0,19,30,6,0.63,57%,107.0,19%,1.0,2.0,bo3
Suggest,DFM,https://www.vlr.gg/player/4559/suggest,Pacific,167349,all,,0.71,155.0,21,31,14,0.68,65%,91.0,30%,4.0,5.0,bo3
Seoldam,DFM,https://www.vlr.gg/player/10584/seoldam,Pacific,167349,all,,0.22,129.0,7,16,2,0.44,53%,80.0,31%,2.0,4.0,bo3
Cloud,GIA,https://www.vlr.gg/player/4181/cloud,EMEA,167349,all,,1.56,287.0,42,21,5,2.0,89%,191.0,39%,4.0,1.0,bo3
nukkye,GIA,https://www.vlr.gg/player/3070/nukkye,EMEA,167349,all,,1.41,233.0,32,18,17,1.78,86%,151.0,33%,5.0,4.0,bo3
rhyme,GIA,https://www.vlr.gg/player/10/rhyme,EMEA,167349,all,,1.26,201.0,28,21,19,1.33,81%,132.0,36%,3.0,4.0,bo3
hoody,GIA,https://www.vlr.gg/player/2690/hoody,EMEA,167349,all,,1.23,208.0,27,20,6,1.35,86%,159.0,23%,5.0,2.0,bo3
Fit1nho,GIA,https://www.vlr.gg/player/292/fit1nho,EMEA,167349,all,,0.85,161.0,20,24,8,0.83,76%,111.0,21%,5.0,4.0,bo3
YuChEn,FPX,https://www.vlr.gg/player/4723/yuchen,EMEA,167351,all,,1.04,189.0,40,42,20,0.95,76%,125.0,34%,3.0,7.0,bo3
Yuicaw,FPX,https://www.vlr.gg/player/11218/yuicaw,EMEA,167351,all,,1.02,190.0,42,40,7,1.05,66%,132.0,22%,3.0,12.0,bo3
AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,EMEA,167351,all,,0.85,202.0,39,49,20,0.8,75%,129.0,31%,1.0,6.0,bo3
nizhaoTZH,FPX,https://www.vlr.gg/player/4880/nizhaotzh,EMEA,167351,all,,0.81,162.0,35,42,16,0.83,63%,89.0,23%,4.0,5.0,bo3
BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,EMEA,167351,all,,0.78,182.0,34,47,23,0.72,76%,123.0,28%,7.0,11.0,bo3
sh1n,KC,https://www.vlr.gg/player/2625/sh1n,EMEA,167351,all,,1.38,279.0,57,38,19,1.5,75%,170.0,29%,12.0,3.0,bo3
Nivera,KC,https://www.vlr.gg/player/14669/nivera,EMEA,167351,all,,1.24,268.0,54,40,15,1.35,76%,161.0,31%,14.0,4.0,bo3
ScreaM,KC,https://www.vlr.gg/player/92/scream,EMEA,167351,all,,1.09,229.0,50,42,20,1.19,73%,142.0,40%,6.0,7.0,bo3
xms,KC,https://www.vlr.gg/player/4603/xms,EMEA,167351,all,,0.95,160.0,34,36,13,0.94,73%,109.0,32%,6.0,1.0,bo3
Newzera,KC,https://www.vlr.gg/player/2622/newzera,EMEA,167351,all,,0.79,120.0,25,35,17,0.71,75%,75.0,38%,3.0,3.0,bo3
QutionerX,BBL,https://www.vlr.gg/player/10161/qutionerx,EMEA,167352,all,,0.95,241.0,51,52,7,0.98,63%,149.0,30%,11.0,12.0,bo3
Brave,BBL,https://www.vlr.gg/player/8041/brave,EMEA,167352,all,,0.89,206.0,41,49,26,0.84,73%,132.0,29%,8.0,6.0,bo3
Turko,BBL,https://www.vlr.gg/player/568/turko,EMEA,167352,all,,0.87,129.0,30,41,18,0.73,70%,95.0,31%,2.0,5.0,bo3
SouhcNi,BBL,https://www.vlr.gg/player/556/souhcni,EMEA,167352,all,,0.82,154.0,33,43,17,0.77,67%,102.0,29%,3.0,7.0,bo3
AsLanM4shadoW,BBL,https://www.vlr.gg/player/1481/aslanm4shadow,EMEA,167352,all,,0.81,149.0,33,44,8,0.75,63%,107.0,23%,2.0,4.0,bo3
Rb,KRX,https://www.vlr.gg/player/488/rb,CN,167352,all,,1.33,225.0,48,32,22,1.5,85%,145.0,27%,8.0,5.0,bo3
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Pacific,167352,all,,1.21,212.0,39,36,42,1.08,85%,135.0,30%,4.0,2.0,bo3
stax,KRX,https://www.vlr.gg/player/485/stax,Pacific,167352,all,,1.17,227.0,49,39,26,1.26,83%,152.0,37%,4.0,3.0,bo3
BuZz,KRX,https://www.vlr.gg/player/804/buzz,Pacific,167352,all,,1.09,255.0,52,44,12,1.18,75%,156.0,20%,16.0,10.0,bo3
Zest,KRX,https://www.vlr.gg/player/772/zest,Pacific,167352,all,,1.01,182.0,41,37,17,1.11,72%,124.0,39%,2.0,6.0,bo3
leaf,C9,https://www.vlr.gg/player/7873/leaf,Americas,167353,all,,1.52,279.0,38,20,12,1.9,84%,186.0,23%,3.0,1.0,bo3
Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,Americas,167353,all,,1.47,278.0,42,22,13,1.91,95%,158.0,25%,6.0,2.0,bo3
yay,C9,https://www.vlr.gg/player/881/yay,Americas,167353,all,,1.17,217.0,30,22,9,1.36,84%,140.0,35%,7.0,5.0,bo3
vanity,C9,https://www.vlr.gg/player/7870/vanity,Americas,167353,all,,1.09,164.0,22,20,29,1.1,84%,98.0,13%,3.0,2.0,bo3
Zellsis,C9,https://www.vlr.gg/player/729/zellsis,Americas,167353,all,,0.99,221.0,26,26,20,1.0,84%,159.0,24%,3.0,6.0,bo3
Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,Pacific,167353,all,,1.07,204.0,27,29,8,0.93,68%,157.0,20%,1.0,3.0,bo3
f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,Pacific,167353,all,,0.79,210.0,25,34,2,0.74,61%,149.0,23%,10.0,6.0,bo3
Benkai,PRX,https://www.vlr.gg/player/9802/benkai,Pacific,167353,all,,0.73,166.0,21,32,11,0.66,76%,113.0,21%,2.0,4.0,bo3
mindfreak,PRX,https://www.vlr.gg/player/9800/mindfreak,Pacific,167353,all,,0.73,163.0,21,32,11,0.66,76%,107.0,16%,2.0,6.0,bo3
d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,Pacific,167353,all,,0.63,139.0,16,31,16,0.52,66%,90.0,28%,1.0,3.0,bo3
keloqz,TH,https://www.vlr.gg/player/3582/keloqz,EMEA,167354,all,,1.12,252.0,38,33,5,1.15,76%,156.0,36%,10.0,7.0,bo3
