match_id,map_num,killer,victim,kills,deaths
167351,113051,BerLIN,Newzera,1,1
167351,113051,BerLIN,sh1n,1,7
167351,113051,Yuicaw,Nivera,2,3
167351,113051,Yuicaw,xms,2,2
167351,113051,Yuicaw,ScreaM,3,3
167351,113051,Yuicaw,Newzera,3,2
167351,113051,Yuicaw,sh1n,1,5
167351,113051,nizhaoTZH,Nivera,5,3
167351,113051,nizhaoTZH,xms,2,2
167351,113051,nizhaoTZH,ScreaM,2,4
167351,113051,nizhaoTZH,Newzera,3,1
167351,113051,nizhaoTZH,sh1n,2,2
167351,113051,YuChEn,Nivera,2,1
167351,113051,YuChEn,xms,1,1
167351,113051,YuChEn,ScreaM,1,5
167351,113051,YuChEn,Newzera,2,1
167351,113051,YuChEn,sh1n,4,6
167351,113051,AAAAY,Nivera,1,3
167351,113051,AAAAY,xms,2,3
167351,113051,AAAAY,ScreaM,2,3
167351,113051,AAAAY,Newzera,2,3
167351,113051,AAAAY,sh1n,1,5
167352,113052,Brave,BuZz,2,3
167352,113052,Brave,stax,3,3
167352,113052,Brave,Zest,2,5
167352,113052,Brave,Rb,1,3
167352,113052,Brave,MaKo,2,1
167352,113052,SouhcNi,BuZz,1,2
167352,113052,SouhcNi,stax,2,3
167352,113052,SouhcNi,Zest,1,3
167352,113052,SouhcNi,Rb,1,0
167352,113052,SouhcNi,MaKo,3,5
167352,113052,Turko,BuZz,2,5
167352,113052,Turko,stax,0,0
167352,113052,Turko,Zest,0,4
167352,113052,Turko,Rb,0,3
167352,113052,Turko,MaKo,2,1
167352,113052,QutionerX,BuZz,4,5
167352,113052,QutionerX,stax,3,2
167352,113052,QutionerX,Zest,4,0
167352,113052,QutionerX,Rb,1,3
167352,113052,QutionerX,MaKo,2,3
167352,113052,AsLanM4shadoW,BuZz,2,3
167352,113052,AsLanM4shadoW,stax,2,4
167352,113052,AsLanM4shadoW,Zest,3,1
167352,113052,AsLanM4shadoW,Rb,0,3
167352,113052,AsLanM4shadoW,MaKo,1,4
167352,113053,Brave,BuZz,2,5
167352,113053,Brave,stax,3,4
167352,113053,Brave,Zest,2,5
167352,113053,Brave,Rb,8,2
167352,113053,Brave,MaKo,2,3
167352,113053,SouhcNi,BuZz,3,2
167352,113053,SouhcNi,stax,2,5
167352,113053,SouhcNi,Zest,3,2
167352,113053,SouhcNi,Rb,4,4
167352,113053,SouhcNi,MaKo,1,2
167352,113053,Turko,BuZz,6,3
167352,113053,Turko,stax,5,1
167352,113053,Turko,Zest,3,3
167352,113053,Turko,Rb,3,1
167352,113053,Turko,MaKo,3,4
167352,113053,QutionerX,BuZz,5,5
167352,113053,QutionerX,stax,3,5
167352,113053,QutionerX,Zest,5,3
167352,113053,QutionerX,Rb,4,5
167352,113053,QutionerX,MaKo,6,3
167352,113053,AsLanM4shadoW,BuZz,4,2
167352,113053,AsLanM4shadoW,stax,4,4
167352,113053,AsLanM4shadoW,Zest,3,4
167352,113053,AsLanM4shadoW,Rb,1,2
167352,113053,AsLanM4shadoW,MaKo,3,3
167352,113054,Brave,BuZz,5,1
167352,113054,Brave,stax,6,5
167352,113054,Brave,Zest,1,3
167352,113054,Brave,Rb,1,6
167352,113054,Brave,MaKo,1,0
167352,113054,SouhcNi,BuZz,4,3
167352,113054,SouhcNi,stax,2,4
167352,113054,SouhcNi,Zest,2,3
167352,113054,SouhcNi,Rb,2,4
167352,113054,SouhcNi,MaKo,2,1
167352,113054,Turko,BuZz,1,2
167352,113054,Turko,stax,0,5
167352,113054,Turko,Zest,1,1
167352,113054,Turko,Rb,2,6
167352,113054,Turko,MaKo,2,2
