match_id,map_num,map_name,player,org,player_id,mk2,mk3,mk4,mk5,c1v1,c1v2,c1v3,c1v4,c1v5,econ,plants,defuses,date,event
167350,113047,FracturePICK,tuyz,LOUD,2408,4,1,0,0,0,0,0,0,0,54,0,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113047,FracturePICK,cauanzin,LOUD,6193,3,0,0,0,0,1,0,0,0,48,9,1,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113047,FracturePICK,Less,LOUD,8447,3,1,0,0,0,0,0,0,0,61,1,2,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113047,FracturePICK,aspas,LOUD,8480,4,1,0,0,0,1,0,0,0,57,1,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167351,113049,LotusPICK,YuChEn,FPX,4723,2,0,0,0,0,0,0,0,0,49,3,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113049,LotusPICK,nizhaoTZH,FPX,4880,2,1,0,0,1,0,0,0,0,36,2,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113049,LotusPICK,BerLIN,FPX,7857,1,0,0,0,0,0,0,0,0,31,1,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113049,LotusPICK,Yuicaw,FPX,11218,1,1,0,0,0,0,0,0,0,60,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113049,LotusPICK,AAAAY,FPX,19530,1,2,0,0,0,0,0,0,0,57,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113049,LotusPICK,ScreaM,KC,92,1,1,1,0,0,0,0,0,0,48,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113049,LotusPICK,Newzera,KC,2622,0,0,0,0,0,0,0,0,0,31,2,1,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113049,LotusPICK,sh1n,KC,2625,3,2,0,0,1,0,0,0,0,73,1,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113049,LotusPICK,xms,KC,4603,3,0,0,0,0,0,0,0,0,57,1,1,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113049,LotusPICK,Nivera,KC,14669,6,1,0,0,0,0,0,0,0,76,1,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
