Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Pacific,mindfreak,PRX,https://www.vlr.gg/player/9800/mindfreak,,140,0.90,168.6,0.83,70%,110.9,0.59,0.44,0.04,0.04,30%,13%,2/15,19,82,99,62,6,6
Pacific,invy,TS,https://www.vlr.gg/player/8504/invy,(+1),111,0.89,173.8,0.80,79%,117.1,0.59,0.45,0.05,0.06,32%,8%,1/12,22,66,83,50,6,7
Pacific,ban,TLN,https://www.vlr.gg/player/5129/ban,(+3),217,0.89,183.7,0.94,67%,117.4,0.64,0.20,0.10,0.12,34%,13%,4/31,19,139,148,44,22,27
Pacific,Jremy,TS,https://www.vlr.gg/player/7405/jremy,,111,0.89,215.3,1.00,61%,130.4,0.75,0.08,0.17,0.16,26%,14%,1/7,21,83,83,9,19,18
Pacific,Deryeon,GE,https://www.vlr.gg/player/9152/deryeon,(+1),164,0.89,155.3,0.89,67%,107.4,0.58,0.18,0.07,0.12,26%,10%,2/20,18,95,107,29,11,19
Pacific,Dambi,NS,https://www.vlr.gg/player/31827/dambi,,319,0.87,218.5,0.88,73%,135.7,0.71,0.35,0.21,0.19,20%,20%,3/15,26,226,258,111,66,60
Pacific,Art,DFM,https://www.vlr.gg/player/10627/art,(+1),180,0.85,177.0,0.80,68%,115.6,0.58,0.30,0.08,0.12,19%,12%,2/17,16,104,130,54,14,21
Pacific,kellyS,GE,https://www.vlr.gg/player/7437/kellys,(+1),164,0.85,175.1,0.79,67%,118.4,0.59,0.32,0.08,0.09,25%,,0/9,24,97,123,52,13,14
Pacific,2GE,TS,https://www.vlr.gg/player/9735/2ge,,111,0.84,166.0,0.81,72%,101.6,0.57,0.33,0.12,0.14,16%,14%,2/14,18,63,78,37,13,15
Pacific,Wild0reoo,TS,https://www.vlr.gg/player/9740/wild0reoo,(+1),111,0.80,164.0,0.76,66%,112.8,0.53,0.14,0.09,0.07,33%,,0/11,17,59,78,16,10,8
Pacific,SugarZ3ro,ZETA,https://www.vlr.gg/player/6668/sugarz3ro,,83,0.80,175.8,0.72,72%,114.3,0.57,0.41,0.06,0.06,33%,17%,1/6,16,47,65,34,5,5
Pacific,CLZ,ZETA,https://www.vlr.gg/player/2615/clz,,83,0.78,142.0,0.65,70%,95.7,0.49,0.33,0.01,0.11,37%,14%,3/21,15,41,63,27,1,9
Pacific,Crws,TLN,https://www.vlr.gg/player/3977/crws,(+1),217,0.75,146.1,0.71,69%,96.1,0.49,0.31,0.05,0.08,25%,14%,3/22,24,107,151,68,11,18
Pacific,Governor,TLN,https://www.vlr.gg/player/3980/governor,,217,0.75,173.6,0.77,65%,111.6,0.58,0.16,0.17,0.20,19%,6%,1/17,18,126,163,35,36,44
Pacific,SyouTa,ZETA,https://www.vlr.gg/player/12990/syouta,,83,0.75,177.8,0.76,61%,114.1,0.64,0.11,0.11,0.13,44%,12%,2/17,15,53,70,9,9,11
Pacific,NcSlasher,BME,https://www.vlr.gg/player/7043/ncslasher,,123,0.73,147.5,0.71,71%,97.3,0.52,0.33,0.02,0.07,31%,,0/9,14,64,90,40,3,9
Pacific,Xdll,ZETA,https://www.vlr.gg/player/25221/xdll,,83,0.70,174.0,0.70,59%,115.4,0.59,0.10,0.10,0.08,33%,,0/9,14,49,70,8,8,7
