Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Pacific,Benkai,PRX,https://www.vlr.gg/player/9802/benkai,,38,0.73,165.5,0.66,76%,112.7,0.55,0.29,0.05,0.11,21%,,0/10,13,21,32,11,2,4
Pacific,mindfreak,PRX,https://www.vlr.gg/player/9800/mindfreak,,38,0.73,163.0,0.66,76%,107.3,0.55,0.29,0.05,0.16,16%,,0/4,12,21,32,11,2,6
Pacific,Anthem,DFM,https://www.vlr.gg/player/6700/anthem,,37,0.72,159.0,0.66,68%,109.1,0.51,0.16,0.08,0.05,32%,,0/5,13,19,29,6,3,2
EMEA,Wolfen,MKOI,https://www.vlr.gg/player/9558/wolfen,,46,0.71,186.5,0.74,61%,122.7,0.61,0.15,0.22,0.28,33%,,,14,28,38,7,10,13
Pacific,xnfri,DFM,https://www.vlr.gg/player/7718/xnfri,,37,0.71,151.0,0.63,57%,107.5,0.51,0.16,0.03,0.05,19%,14%,1/7,12,19,30,6,1,2
Pacific,xeta,T1,https://www.vlr.gg/player/474/xeta,,20,0.71,172.0,0.63,75%,106.4,0.50,0.70,0.00,0.15,29%,,0/3,10,10,16,14,0,3
Pacific,Suggest,DFM,https://www.vlr.gg/player/4559/suggest,,37,0.71,154.5,0.68,65%,90.8,0.57,0.38,0.11,0.14,30%,,0/5,11,21,31,14,4,5
EMEA,starxo,MKOI,https://www.vlr.gg/player/565/starxo,,46,0.70,123.0,0.59,70%,78.6,0.37,0.48,0.00,0.13,18%,,0/4,10,17,29,22,0,6
Pacific,Secret,GEN,https://www.vlr.gg/player/4054/secret,,48,0.70,146.0,0.68,73%,81.3,0.52,0.46,0.00,0.10,13%,,0/4,13,25,37,22,0,5
Pacific,SkRossi,GE,https://www.vlr.gg/player/4095/skrossi,,58,0.67,130.7,0.64,67%,91.6,0.50,0.33,0.03,0.12,26%,29%,2/7,18,29,45,19,2,7
EMEA,koldamenta,MKOI,https://www.vlr.gg/player/339/koldamenta,,46,0.64,110.0,0.50,63%,74.9,0.37,0.41,0.02,0.07,21%,,0/4,12,17,34,19,1,3
Pacific,d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,,38,0.63,138.5,0.52,66%,90.2,0.42,0.42,0.03,0.08,28%,,0/3,9,16,31,16,1,3
EMEA,AvovA,TH,https://www.vlr.gg/player/1507/avova,,42,0.62,147.5,0.54,67%,97.2,0.48,0.38,0.07,0.05,18%,,0/3,12,20,37,16,3,2
Pacific,crow,ZETA,https://www.vlr.gg/player/1000/crow,,41,0.61,135.5,0.52,66%,90.9,0.41,0.39,0.05,0.12,21%,,0/5,12,17,33,16,2,5
Americas,dephh,SEN,https://www.vlr.gg/player/882/dephh,,39,0.57,130.5,0.53,64%,95.3,0.41,0.18,0.05,0.13,21%,,0/5,9,16,30,7,2,5
Americas,zekken,SEN,https://www.vlr.gg/player/4004/zekken,,39,0.53,119.5,0.47,62%,77.3,0.38,0.28,0.10,0.13,24%,,0/3,8,15,32,11,4,5
Pacific,TENNN,ZETA,https://www.vlr.gg/player/1395/tennn,,41,0.53,132.5,0.50,56%,84.4,0.41,0.20,0.07,0.29,23%,17%,1/6,9,17,34,8,3,12
EMEA,soulcas,TL,https://www.vlr.gg/player/101/soulcas,,41,0.52,112.5,0.53,56%,70.3,0.39,0.24,0.02,0.10,24%,,0/6,10,16,30,10,1,4
Americas,NagZ,KRÜ,https://www.vlr.gg/player/1294/nagz,,41,0.49,106.5,0.42,59%,78.3,0.34,0.07,0.07,0.05,18%,,0/7,7,14,33,3,3,2
Pacific,2GE,RRQ,https://www.vlr.gg/player/9735/2ge,,24,0.47,111.0,0.56,58%,82.9,0.42,0.25,0.00,0.04,29%,,0/2,10,10,18,6,0,1
Pacific,Seoldam,DFM,https://www.vlr.gg/player/10584/seoldam,,17,0.22,129.0,0.44,53%,79.5,0.41,0.12,0.12,0.24,31%,,,7,7,16,2,2,4
