MatchID,step,team,action,map
183811,2,FUR,ban,Lotus
183811,3,NRG,pick,Bind
183811,4,FUR,pick,Haven
183811,5,NRG,ban,Fracture
183811,6,FUR,ban,Split
183811,7,,remains,Pearl
183812,1,FUR,ban,Lotus
183812,2,100T,ban,Ascent
183812,3,FUR,pick,Pearl
183812,4,100T,pick,Fracture
183812,5,FUR,ban,Split
183812,6,100T,ban,Bind
183812,7,,remains,Haven
183813,1,MIBR,ban,Split
183813,2,EG,ban,Haven
183813,3,MIBR,pick,Lotus
183813,4,EG,pick,Fracture
183813,5,MIBR,ban,Pearl
183813,6,EG,ban,Bind
183813,7,,remains,Ascent
183814,1,SEN,ban,Ascent
183814,2,KRÜ,ban,Fracture
183814,3,SEN,pick,Lotus
183814,4,KRÜ,pick,Bind
183814,5,SEN,ban,Haven
183814,6,KRÜ,ban,Split
183814,7,,remains,Pearl
183815,1,LOUD,ban,Bind
183815,2,NRG,ban,Ascent
183815,3,LOUD,pick,Split
183815,4,NRG,pick,Pearl
183815,5,LOUD,ban,Fracture
183815,6,NRG,ban,Lotus
183815,7,,remains,Haven
183816,1,C9,ban,Pearl
183816,2,LEV,ban,Fracture
183816,3,C9,pick,Lotus
183816,4,LEV,pick,Haven
183816,5,C9,ban,Split
183816,6,LEV,ban,Ascent
183816,7,,remains,Bind
183944,1,FUT,ban,Fracture
183944,2,VIT,ban,Pearl
183944,3,FUT,pick,Lotus
183944,4,VIT,pick,Haven
183944,5,FUT,ban,Split
183944,6,VIT,ban,Ascent
183944,7,,remains,Icebox
183945,1,BBL,ban,Pearl
183945,2,NAVI,ban,Haven
183945,3,BBL,pick,Ascent
183945,4,NAVI,pick,Fracture
183945,5,BBL,ban,Lotus
183945,6,NAVI,ban,Icebox
183945,7,,remains,Split
183946,1,FNC,ban,Pearl
183946,2,TH,ban,Haven
183946,3,FNC,pick,Icebox
183946,4,TH,pick,Ascent
183946,5,FNC,ban,Split
183946,6,TH,ban,Lotus
183946,7,,remains,Fracture
183947,1,TL,ban,Pearl
183947,2,KC,ban,Fracture
183947,3,TL,pick,Ascent
183947,4,KC,pick,Split
183947,5,TL,ban,Haven
183947,6,KC,ban,Icebox
183947,7,,remains,Lotus
183948,1,GIA,ban,Fracture
183948,2,MKOI,ban,Split
183948,3,GIA,pick,Lotus
183948,4,MKOI,pick,Ascent
183948,5,GIA,ban,Haven
183948,6,MKOI,ban,Pearl
183948,7,,remains,Icebox
183949,1,NAVI,ban,Icebox
183949,2,TH,ban,Fracture
183949,3,NAVI,pick,Pearl
183949,4,TH,pick,Lotus
183949,5,NAVI,ban,Split
183949,6,TH,ban,Haven
183949,7,,remains,Ascent
183950,1,,unknown,Stats unavailable for Map 1 due to lobby remake.
183951,1,TL,ban,Icebox
183951,2,FNC,ban,Pearl
183951,3,TL,pick,Lotus
183951,4,FNC,pick,Haven
183951,5,TL,ban,Ascent
183951,6,FNC,ban,Split
183951,7,,remains,Fracture
183952,1,BBL,ban,Pearl
183952,2,GIA,ban,Ascent
183952,3,BBL,pick,Icebox
183952,4,GIA,pick,Split
183952,5,BBL,ban,Lotus
183952,6,GIA,ban,Haven
183952,7,,remains,Fracture
183953,1,KC,ban,Haven
183953,2,VIT,ban,Pearl
183953,3,KC,pick,Ascent
183953,4,VIT,pick,Split
183953,5,KC,ban,Icebox
183953,6,VIT,ban,Fracture
183953,7,,remains,Lotus
184032,1,SEN,ban,Ascent
184032,2,FUR,ban,Lotus
184032,3,SEN,pick,Split
184032,4,FUR,pick,Haven
184032,5,SEN,ban,Fracture
184032,6,FUR,ban,Pearl
184032,7,,remains,Bind
184033,1,NRG,ban,Fracture
184033,2,EG,ban,Haven
184033,3,NRG,pick,Bind
184033,4,EG,pick,Split
184033,5,NRG,ban,Lotus
184033,6,EG,ban,Pearl
184033,7,,remains,Ascent
184034,1,C9,ban,Pearl
184034,2,KRÜ,ban,Fracture
184034,3,C9,pick,Lotus
184034,4,KRÜ,pick,Ascent
184034,5,C9,ban,Bind
184034,6,KRÜ,ban,Haven
184034,7,,remains,Split
184035,1,LEV,ban,Fracture
184035,2,LOUD,ban,Pearl
184035,3,LEV,pick,Haven
184035,4,LOUD,pick,Ascent
184035,5,LEV,ban,Bind
184035,6,LOUD,ban,Split
184035,7,,remains,Lotus
184036,1,100T,ban,Ascent
184036,2,MIBR,ban,Split
184036,3,100T,pick,Fracture
184036,4,MIBR,pick,Pearl
184036,5,100T,ban,Bind
184036,6,MIBR,ban,Haven
184036,7,,remains,Lotus
184037,1,TL,ban,Lotus
184037,2,TH,ban,Ascent
184037,3,TL,pick,Split
184037,4,TH,pick,Fracture
184037,5,TL,ban,Pearl
184037,6,TH,ban,Haven
184037,7,,remains,Icebox
184038,1,FNC,ban,Pearl
184038,2,MKOI,ban,Bind
184038,3,FNC,pick,Lotus
184038,4,MKOI,pick,Ascent
184038,5,FNC,ban,Split
184038,6,MKOI,ban,Haven
184038,7,,remains,Fracture
184039,1,FUT,ban,Fracture
184039,2,GIA,ban,Haven
184039,3,FUT,pick,Icebox
184039,4,GIA,pick,Split
184039,5,FUT,ban,Pearl
184039,6,GIA,ban,Lotus
184039,7,,remains,Ascent
184040,1,NAVI,ban,Icebox
184040,2,KC,ban,Pearl
184040,3,NAVI,pick,Ascent
184040,4,KC,pick,Lotus
184040,5,NAVI,ban,Haven
184040,6,KC,ban,Fracture
184040,7,,remains,Split
184041,1,BBL,ban,Split
184041,2,VIT,ban,Pearl
184041,3,BBL,pick,Ascent
184041,4,VIT,pick,Haven
184041,5,BBL,ban,Fracture
184041,6,VIT,ban,Icebox
184041,7,,remains,Lotus
184042,1,TL,ban,Pearl
184042,2,GIA,ban,Fracture
184042,3,TL,pick,Ascent
184042,4,GIA,pick,Icebox
184042,5,TL,ban,Haven
184042,6,GIA,ban,Split
184042,7,,remains,Lotus
184043,1,BBL,ban,Fracture
184043,2,TH,ban,Ascent
184043,3,BBL,pick,Haven
184043,4,TH,pick,Lotus
184043,5,BBL,ban,Pearl
184043,6,TH,ban,Split
184043,7,,remains,Icebox
184044,1,KC,ban,Fracture
184044,2,MKOI,ban,Split
184044,3,KC,pick,Lotus
184044,4,MKOI,pick,Ascent
184044,5,KC,ban,Pearl
184044,6,MKOI,ban,Icebox
184044,7,,remains,Haven
184045,1,FNC,ban,Pearl
184045,2,FUT,ban,Fracture
184045,3,FNC,pick,Icebox
184045,4,FUT,pick,Lotus
184045,5,FNC,ban,Split
184045,6,FUT,ban,Ascent
184045,7,,remains,Haven
