date,event_ticker,team_a,team_b,kalshi_a_raw,kalshi_b_raw,kalshi_a_fair,kalshi_b_fair,vig_bps,volume_total,model_p_a,model_p_b,a_won,kalshi_winner_org,actual_winner_org,edge_for_a,match_id
2026-04-29,KXVALORANTGAME-26APR291400PCFICVIT,PCF,VIT,0.2218,0.784,0.2205,0.7795,58.2,45888.0,0.185,0.815,0,VIT,VIT,-0.0356,644735.0
2026-04-29,KXVALORANTGAME-26APR291100FUTTH,TH,FUT,0.4959,0.5339,0.4815,0.5185,298.5,109250.0,0.6653,0.3347,1,TH,TH,0.1837,644734.0
2026-04-26,KXVALORANTGAME-26APR261700SENEG,EG,SEN,0.3628,0.6559,0.3561,0.6439,186.5,96430.0,0.5384,0.4616,0,SEN,SEN,0.1822,645490.0
2026-04-26,KXVALORANTGAME-26APR260600TSNS,NS,TS,0.888,0.1267,0.8752,0.1248,147.2,98351.0,0.992,0.008,1,NS,NS,0.1169,644676.0
2026-04-26,KXVALORANTGAME-26APR260400ZETAT1,ZETA,T1,0.1258,0.8918,0.1236,0.8764,176.7,21702.0,0.0556,0.9444,0,T1,T1,-0.0681,644675.0
2026-04-26,KXVALORANTGAME-26APR252000100TNRG,100T,NRG,0.5447,0.537,0.5036,0.4964,816.1,185610.0,0.2415,0.7585,0,NRG,,-0.2621,
2026-04-25,KXVALORANTGAME-26APR251700KRUFUR,KRÜ,FUR,0.46,0.5611,0.4505,0.5495,211.1,84852.0,0.0858,0.9142,1,KRÜ,KRÜ,-0.3647,645488.0
2026-04-25,KXVALORANTGAME-26APR242000LOUDG2,LOUD,G2,0.1776,0.8337,0.1756,0.8244,112.8,121253.0,0.0175,0.9825,0,G2,,-0.1581,
2026-04-24,KXVALORANTGAME-26APR241700NVLEV,ENVY,LEV,0.3447,0.6811,0.336,0.664,257.3,132770.0,0.5205,0.4795,0,LEV,LEV,0.1845,645486.0
2026-04-24,KXVALORANTGAME-26APR241400VITBBL,VIT,BBL,0.6306,0.4205,0.5999,0.4001,511.0,191141.0,0.3537,0.6463,0,BBL,BBL,-0.2462,644733.0
2026-04-24,KXVALORANTGAME-26APR241100THGM,M8,TH,0.6106,0.4143,0.5958,0.4042,248.4,118362.0,0.7803,0.2197,0,TH,TH,0.1845,644732.0
2026-04-24,KXVALORANTGAME-26APR240600GEPR,PRX,GE,0.7158,0.2895,0.712,0.288,52.2,60279.0,0.7359,0.2641,1,PRX,PRX,0.0238,644672.0
2026-04-22,KXVALORANTGAME-26APR221400TLNAVI,TL,NAVI,0.6672,0.3571,0.6514,0.3486,242.8,162308.0,0.634,0.366,1,TL,TL,-0.0174,644729.0
2026-04-19,KXVALORANTGAME-26APR190600GENGNS,GEN,NS,0.3545,0.6642,0.348,0.652,187.1,72007.0,0.0544,0.9456,0,NS,NS,-0.2935,644670.0
2026-04-19,KXVALORANTGAME-26APR190400T1RRQ,RRQ,T1,0.3449,0.6748,0.3382,0.6618,197.1,46643.0,0.3032,0.6968,0,T1,T1,-0.035,644669.0
2026-04-19,KXVALORANTGAME-26APR182000LOUDMIBR,MIBR,LOUD,0.8674,0.1509,0.8518,0.1482,182.3,100794.0,0.9335,0.0665,1,MIBR,,0.0816,
2026-04-18,KXVALORANTGAME-26APR180600DFMZETA,ZETA,DFM,0.4139,0.6166,0.4017,0.5983,304.8,50776.0,0.19,0.81,0,DFM,DFM,-0.2117,644668.0
2026-04-17,KXVALORANTGAME-26APR171400FNCPCFIC,FNC,PCF,0.8456,0.2172,0.7956,0.2044,628.2,56922.0,0.8215,0.1785,1,FNC,FNC,0.0258,644727.0
2026-04-17,KXVALORANTGAME-26APR171100TLFUT,FUT,TL,0.3519,0.6978,0.3352,0.6648,496.5,132916.0,0.223,0.777,1,FUT,FUT,-0.1123,644726.0
2026-04-17,KXVALORANTGAME-26APR170600PRTS,PRX,TS,0.9049,0.1117,0.8901,0.1099,166.0,58867.0,0.9693,0.0307,1,PRX,PRX,0.0792,644666.0
2026-04-16,KXVALORANTGAME-26APR161400THKC,KC,TH,0.4765,0.5337,0.4717,0.5283,101.5,155965.0,0.4577,0.5423,0,TH,TH,-0.014,644725.0
2026-04-16,KXVALORANTGAME-26APR160500WOLNOVA,NOVA,WOL,0.4037,0.609,0.3986,0.6014,127.3,41003.0,0.451,0.549,1,NOVA,NOVA,0.0524,642943.0
2026-04-15,KXVALORANTGAME-26APR151400NAVIGM,NAVI,M8,0.4243,0.5923,0.4174,0.5826,165.9,65223.0,0.2197,0.7803,0,M8,M8,-0.1977,644723.0
2026-04-15,KXVALORANTGAME-26APR150700BLGAG,BLG,AG,0.6209,0.3875,0.6157,0.3843,84.2,59046.0,0.2786,0.7214,0,AG,AG,-0.3371,642942.0
2026-04-14,KXVALORANTGAME-26APR140700DRGTE,DRG,TE,0.5887,0.4324,0.5766,0.4234,211.1,117752.0,0.5795,0.4205,1,DRG,DRG,0.0029,642940.0
2026-04-13,KXVALORANTGAME-26APR122000NRGFUR,FUR,NRG,0.4003,0.6069,0.3974,0.6026,71.3,190997.0,0.3156,0.6844,1,FUR,,-0.0818,
2026-04-12,KXVALORANTGAME-26APR121700LEVC9,C9,LEV,0.5899,0.4268,0.5802,0.4198,166.6,101220.0,0.7022,0.2978,0,LEV,LEV,0.122,645478.0
2026-04-12,KXVALORANTGAME-26APR120600PRGENG,PRX,GEN,0.753,0.2435,0.7557,0.2443,-35.2,119078.0,0.834,0.166,0,GEN,GEN,0.0784,644663.0
2026-04-11,KXVALORANTGAME-26APR111700EG100T,EG,100T,0.3207,0.697,0.3151,0.6849,176.9,108879.0,0.2871,0.7129,0,100T,100T,-0.0279,645476.0
2026-04-11,KXVALORANTGAME-26APR110700DRGEDG,EDG,DRG,0.6701,0.3267,0.6722,0.3278,-32.0,53774.0,0.6191,0.3809,1,EDG,EDG,-0.0532,642936.0
2026-04-11,KXVALORANTGAME-26APR110400GETS,TS,GE,0.1805,0.8496,0.1753,0.8247,301.1,59613.0,0.0921,0.9079,0,GE,GE,-0.0832,644660.0
2026-04-11,KXVALORANTGAME-26APR102000MIBRG2,MIBR,G2,0.4041,0.6102,0.3984,0.6016,143.0,158580.0,0.2328,0.7672,1,MIBR,,-0.1657,
2026-04-10,KXVALORANTGAME-26APR101400KCGM,KC,M8,0.4019,0.6265,0.3908,0.6092,284.1,161831.0,0.1909,0.8091,0,M8,M8,-0.1999,644721.0
2026-04-10,KXVALORANTGAME-26APR101100NAVIFUT,FUT,NAVI,0.5065,0.5194,0.4937,0.5063,259.7,149225.0,0.3347,0.6653,1,FUT,FUT,-0.159,644720.0
2026-04-10,KXVALORANTGAME-26APR100700BLGFPX,BLG,FPX,0.6777,0.3439,0.6633,0.3367,216.1,44243.0,0.7562,0.2438,1,BLG,BLG,0.0929,642934.0
2026-04-10,KXVALORANTGAME-26APR100500TENOVA,TE,NOVA,0.7423,0.2862,0.7217,0.2783,285.4,14481.0,0.5863,0.4137,1,TE,TE,-0.1354,642933.0
2026-04-10,KXVALORANTGAME-26APR100400T1DFM,T1,DFM,0.841,0.1757,0.8272,0.1728,166.6,59341.0,0.7821,0.2179,1,T1,T1,-0.045,644658.0
2026-04-09,KXVALORANTGAME-26APR091400THTL,TH,TL,0.3695,0.6661,0.3568,0.6432,355.5,62200.0,0.366,0.634,0,TL,TL,0.0092,644719.0
2026-04-09,KXVALORANTGAME-26APR091100VITFNC,FNC,VIT,0.4571,0.5722,0.4441,0.5559,293.5,109744.0,0.5102,0.4898,1,FNC,FNC,0.0661,644718.0
2026-04-09,KXVALORANTGAME-26APR090700WOLDRG,WOL,DRG,0.3051,0.6986,0.304,0.696,37.1,68298.0,0.3839,0.6161,0,DRG,DRG,0.0799,642932.0
2026-04-09,KXVALORANTGAME-26APR090500AGJDG,JDG,AG,0.4898,0.5305,0.48,0.52,203.4,30837.0,0.1789,0.8211,0,AG,AG,-0.3011,642931.0
2026-04-08,KXVALORANTGAME-26APR081100GXPCFIC,PCF,GX,0.3266,0.7038,0.3169,0.6831,303.5,112203.0,0.3127,0.6873,0,GX,GX,-0.0042,644716.0
2026-04-08,KXVALORANTGAME-26APR080700TEEDG,TE,EDG,0.2871,0.7307,0.2821,0.7179,177.5,29494.0,0.308,0.692,0,EDG,EDG,0.0259,642930.0
2026-04-05,KXVALORANTGAME-26APR050700JDGBLG,JDG,BLG,0.3269,0.6755,0.3261,0.6739,24.0,23618.0,0.3653,0.6347,0,BLG,BLG,0.0392,642925.0
2026-04-05,KXVALORANTGAME-26APR050600ZETARRQ,RRQ,ZETA,0.8213,0.2067,0.7989,0.2011,280.1,53289.0,0.8713,0.1287,1,RRQ,RRQ,0.0724,644657.0
2026-04-04,KXVALORANTGAME-26APR040700EDGWOL,WOL,EDG,0.1828,0.8161,0.183,0.817,-11.7,17844.0,0.276,0.724,0,EDG,EDG,0.093,642923.0
2026-04-04,KXVALORANTGAME-26APR040400PRNS,NS,PRX,0.5967,0.4367,0.5774,0.4226,334.0,171885.0,0.757,0.243,0,PRX,PRX,0.1795,644654.0
2026-04-03,KXVALORANTGAME-26APR031400PCFICBBL,PCF,BBL,0.192,0.8372,0.1865,0.8135,291.6,61314.0,0.1063,0.8937,0,BBL,BBL,-0.0802,644714.0
2026-04-03,KXVALORANTGAME-26APR031100NAVITH,TH,NAVI,0.696,0.3303,0.6781,0.3219,263.4,127739.0,0.5,0.5,0,NAVI,NAVI,-0.1781,644713.0
2026-04-03,KXVALORANTGAME-26APR030700AGFPX,AG,FPX,0.7067,0.2851,0.7126,0.2874,-82.2,15537.0,0.8943,0.1057,0,FPX,FPX,0.1818,642921.0
2026-04-03,KXVALORANTGAME-26APR030500NOVADRG,DRG,NOVA,0.7239,0.2866,0.7164,0.2836,105.0,8279.0,0.6618,0.3382,1,DRG,DRG,-0.0546,642920.0
2026-04-03,KXVALORANTGAME-26APR030400GEGENG,GE,GEN,0.4561,0.5609,0.4485,0.5515,170.4,79211.0,0.638,0.362,1,GE,GE,0.1895,644652.0
