Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
EMEA,Flickless,GX,https://www.vlr.gg/player/6959/flickless,50%50%,50,0.66,111,0.53,64%,76.8,0.36,0.38,0.08,0.14,33%,25%,1/4,12,18,34,19,4,7
EMEA,LohaN,TL,https://www.vlr.gg/player/2881/lohan,100%,34,0.52,114,0.45,56%,84.0,0.38,0.09,0.06,0.15,22%,33%,1/3,9,13,29,3,2,5
Pacific,Karon,GEN,https://www.vlr.gg/player/34974/karon,100%,50,1.48,277,1.79,80%,181.7,1.04,0.32,0.08,0.00,44%,40%,2/5,34,52,29,16,4,0
Pacific,Zeus,TS,https://www.vlr.gg/player/46135/zeus,100%,65,1.34,274,1.39,82%,179.8,0.98,0.17,0.28,0.15,33%,33%,2/6,26,64,46,11,18,10
Pacific,eKo,ZETA,https://www.vlr.gg/player/1960/eko,50%50%,50,1.33,239,1.18,78%,151.4,0.78,0.42,0.08,0.00,43%,17%,2/12,22,39,33,21,4,0
Pacific,t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,100%,50,1.07,242,1.34,70%,146.6,0.86,0.10,0.18,0.12,28%,14%,1/7,22,43,32,5,9,6
Pacific,SyouTa,ZETA,https://www.vlr.gg/player/12990/syouta,50%50%,50,1.06,236,1.08,76%,155.4,0.82,0.24,0.10,0.10,30%,17%,1/6,30,41,38,12,5,5
Pacific,Sylvan,TS,https://www.vlr.gg/player/4056/sylvan,67%33%,65,1.03,204,1.04,77%,140.4,0.75,0.29,0.06,0.08,42%,29%,2/7,19,49,47,19,4,5
Pacific,Xdll,ZETA,https://www.vlr.gg/player/25221/xdll,50%50%,50,0.95,185,0.92,70%,107.4,0.68,0.26,0.08,0.12,29%,14%,1/7,18,34,37,13,4,6
Pacific,Raxcal,GEN,https://www.vlr.gg/player/48925/raxcal,50%50%,50,0.93,190,0.94,74%,125.0,0.62,0.32,0.04,0.10,23%,0%,0/6,18,31,33,16,2,5
Pacific,Efina,GEN,https://www.vlr.gg/player/985/efina,50%50%,50,0.91,159,0.94,80%,110.6,0.60,0.28,0.06,0.02,24%,67%,4/6,18,30,32,14,3,1
Pacific,STYRON,TS,https://www.vlr.gg/player/11704/styron,67%33%,65,0.91,185,0.78,71%,123.7,0.58,0.35,0.08,0.09,15%,0%,0/9,14,38,49,23,5,6
Pacific,kellyS,TS,https://www.vlr.gg/player/7437/kellys,67%33%,65,0.82,171,0.76,71%,121.9,0.57,0.32,0.06,0.09,20%,0%,0/9,16,37,49,21,4,6
Pacific,Ash,GEN,https://www.vlr.gg/player/25017/ash,100%,50,0.80,202,0.80,68%,137.4,0.64,0.22,0.12,0.28,31%,0%,0/1,19,32,40,11,6,14
Pacific,Absol,ZETA,https://www.vlr.gg/player/34776/absol,50%50%,50,0.75,191,0.74,62%,119.5,0.62,0.18,0.16,0.20,19%,0%,0/2,20,31,42,9,8,10
Pacific,SugarZ3ro,ZETA,https://www.vlr.gg/player/6668/sugarz3ro,100%,50,0.68,136,0.55,70%,92.2,0.42,0.46,0.10,0.06,30%,0%,0/6,13,21,38,23,5,3
Pacific,natz,TS,https://www.vlr.gg/player/7049/natz,67%33%,65,0.68,143,0.71,65%,104.0,0.52,0.14,0.05,0.08,26%,25%,2/8,14,34,48,9,3,5
CN,vo0kashu,DRG,https://www.vlr.gg/player/3741/vo0kashu,86%14%,161,1.41,271,1.58,76%,180.6,0.94,0.21,0.10,0.06,35%,,,28,152,96,34,16,10
CN,slowly,TYL,https://www.vlr.gg/player/41739/slowly,43%29%14%+1,132,1.40,270,1.75,79%,166.9,0.99,0.16,0.23,0.12,35%,,,24,131,75,21,30,16
CN,Rarga,XLG,https://www.vlr.gg/player/22047/rarga,40%20%20%+1,111,1.28,251,1.39,77%,163.7,0.93,0.22,0.22,0.10,31%,,,26,103,74,24,24,11
CN,splash,TYL,https://www.vlr.gg/player/36685/splash,43%29%29%,132,1.25,279,1.43,76%,186.3,0.95,0.23,0.11,0.14,32%,,,27,126,88,31,15,18
CN,Deryeon,WOL,https://www.vlr.gg/player/9152/deryeon,71%14%14%,139,1.23,224,1.28,78%,134.6,0.82,0.35,0.04,0.07,26%,,,28,114,89,48,5,10
CN,K1ra,AG,https://www.vlr.gg/player/46748/k1ra,40%20%20%+1,108,1.23,234,1.23,79%,161.4,0.83,0.34,0.09,0.05,32%,,,28,90,73,37,10,5
CN,GuanG,NOVA,https://www.vlr.gg/player/41054/guang,50%50%,41,1.22,224,1.71,85%,135.8,0.88,0.32,0.07,0.02,36%,,,20,36,21,13,3,1
CN,swagzor,NOVA,https://www.vlr.gg/player/45492/swagzor,50%50%,41,1.20,278,1.54,68%,161.0,0.98,0.15,0.29,0.27,25%,,,22,40,26,6,12,11
CN,coconut,FPX,https://www.vlr.gg/player/12365/coconut,60%20%20%,100,1.18,201,1.14,71%,147.2,0.67,0.29,0.02,0.07,33%,,,17,67,59,29,2,7
CN,Spring,WOL,https://www.vlr.gg/player/14125/spring,86%14%,139,1.18,241,1.14,71%,159.1,0.82,0.37,0.09,0.11,27%,,,21,114,100,51,12,15
CN,CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,33%33%33%,57,1.16,222,1.15,75%,152.6,0.81,0.25,0.12,0.07,38%,,,18,46,40,14,7,4
CN,lucas,TEC,https://www.vlr.gg/player/19677/lucas,88%13%,181,1.16,211,1.12,71%,146.1,0.73,0.24,0.04,0.06,25%,,,25,133,119,43,8,11
CN,qiutiaN,NOVA,https://www.vlr.gg/player/43007/qiutian,50%50%,41,1.16,201,1.38,83%,130.2,0.80,0.41,0.07,0.02,23%,,,17,33,24,17,3,1
CN,whzy,BLG,https://www.vlr.gg/player/4885/whzy,50%25%13%+1,172,1.15,248,1.20,73%,160.0,0.86,0.20,0.19,0.08,20%,,,28,148,123,35,33,13
CN,Scales,TYL,https://www.vlr.gg/player/39485/scales,43%43%14%,132,1.14,216,1.27,77%,137.2,0.74,0.39,0.11,0.09,33%,,,21,98,77,52,14,12
CN,cb,NOVA,https://www.vlr.gg/player/39697/cb,50%50%,41,1.14,196,1.30,80%,135.4,0.63,0.29,0.02,0.07,28%,,,16,26,20,12,1,3
CN,Lysoar,XLG,https://www.vlr.gg/player/37489/lysoar,60%20%20%,111,1.13,217,1.21,77%,137.3,0.79,0.37,0.06,0.05,29%,,,21,88,73,41,7,6
CN,SiuFatBB,TYL,https://www.vlr.gg/player/7849/siufatbb,57%29%14%,132,1.12,169,1.24,79%,109.7,0.64,0.39,0.02,0.04,22%,,,17,84,68,52,3,5
CN,Ezeir,NOVA,https://www.vlr.gg/player/46460/ezeir,100%,41,1.12,210,1.29,83%,129.0,0.76,0.44,0.10,0.05,23%,,,17,31,24,18,4,2
CN,Coco,TEC,https://www.vlr.gg/player/47629/coco,75%25%,181,1.09,196,0.99,77%,119.9,0.67,0.47,0.03,0.03,33%,,,23,122,123,85,6,5
CN,Life,DRG,https://www.vlr.gg/player/3028/life,57%29%14%,161,1.08,217,1.17,68%,141.8,0.78,0.11,0.17,0.14,39%,,,27,125,107,18,28,22
CN,Erv,TYL,https://www.vlr.gg/player/55085/erv,57%29%14%,132,1.08,181,1.05,79%,114.1,0.60,0.45,0.06,0.08,26%,,,17,79,75,60,8,11
CN,Setrod,FPX,https://www.vlr.gg/player/50025/setrod,40%20%20%+1,100,1.07,231,1.13,66%,143.7,0.81,0.16,0.20,0.14,28%,,,21,81,72,16,20,14
CN,WsLeo,XLG,https://www.vlr.gg/player/24308/wsleo,60%40%,111,1.06,203,1.07,73%,129.3,0.68,0.39,0.11,0.05,24%,,,19,75,70,43,12,5
CN,Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,33%33%33%,57,1.04,216,0.89,68%,133.0,0.72,0.35,0.11,0.07,45%,,,17,41,46,20,6,4
CN,Knight,BLG,https://www.vlr.gg/player/4774/knight,25%25%25%+2,172,1.03,210,1.03,70%,133.3,0.73,0.24,0.11,0.06,23%,,,20,125,121,41,19,10
CN,Xlele,FPX,https://www.vlr.gg/player/54487/xlele,40%40%20%,100,1.03,226,1.09,69%,144.8,0.82,0.10,0.13,0.11,27%,,,21,82,75,10,13,11
CN,happywei,XLG,https://www.vlr.gg/player/37927/happywei,40%40%20%,111,1.01,213,1.01,77%,146.6,0.71,0.36,0.10,0.10,33%,,,20,79,78,40,11,11
CN,iamgrq,AG,https://www.vlr.gg/player/58959/iamgrq,60%40%,108,1.01,213,1.07,75%,140.3,0.75,0.33,0.10,0.11,29%,,,19,81,76,36,11,12
CN,aluba,WOL,https://www.vlr.gg/player/14441/aluba,57%29%14%,139,0.99,177,0.92,73%,120.6,0.62,0.19,0.05,0.05,32%,,,16,86,93,27,7,7
CN,Haodong,TEC,https://www.vlr.gg/player/4720/haodong,75%25%,181,0.97,183,0.90,67%,123.2,0.66,0.21,0.08,0.06,35%,,,26,120,133,38,14,10
CN,f4ngeer,AG,https://www.vlr.gg/player/21216/f4ngeer,60%20%20%,108,0.97,226,1.00,73%,135.7,0.74,0.18,0.25,0.15,20%,,,22,80,80,19,27,16
CN,nephh,BLG,https://www.vlr.gg/player/10698/nephh,50%38%13%,172,0.96,175,0.88,75%,109.2,0.62,0.48,0.05,0.08,22%,,,21,106,121,82,9,14
CN,Shr1mp,AG,https://www.vlr.gg/player/25494/shr1mp,60%40%,108,0.96,185,0.95,73%,117.6,0.65,0.30,0.06,0.03,19%,,,18,70,74,32,7,3
CN,Bai,AG,https://www.vlr.gg/player/52101/bai,80%20%,108,0.96,200,0.97,74%,135.5,0.68,0.31,0.08,0.07,17%,,,15,73,75,33,9,8
CN,ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,67%33%,57,0.95,217,1.00,60%,124.7,0.79,0.09,0.18,0.16,25%,,,20,45,45,5,10,9
CN,rushia,BLG,https://www.vlr.gg/player/48878/rushia,50%38%13%,172,0.95,189,0.94,68%,127.9,0.65,0.30,0.10,0.15,21%,,,22,111,118,51,17,25
CN,Yuicaw,JDG,https://www.vlr.gg/player/11218/yuicaw,33%33%33%,62,0.94,191,0.89,68%,124.2,0.65,0.24,0.08,0.11,40%,,,17,40,45,15,5,7
CN,KovaQ,FPX,https://www.vlr.gg/player/7987/kovaq,60%20%20%,100,0.93,170,0.83,70%,109.3,0.58,0.47,0.11,0.10,32%,,,16,58,70,47,11,10
