MatchID,MapNum,WinnerOrg,Score,MatchName
184042,119261,GIA,13-11,Regular Season: Week 5
184042,119262,TL,13-11,Regular Season: Week 5
184042,119263,TL,13-10,Regular Season: Week 5
184042,all,TL,2-1,Regular Season: Week 5
184043,119264,BBL,14-12,Regular Season: Week 5
184043,119265,TH,13-10,Regular Season: Week 5
184043,119266,BBL,13-2,Regular Season: Week 5
184043,all,BBL,2-1,Regular Season: Week 5
184044,119267,KC,13-6,Regular Season: Week 5
184044,119268,MKOI,13-8,Regular Season: Week 5
184044,119269,KC,13-11,Regular Season: Week 5
184044,all,KC,2-1,Regular Season: Week 5
184045,119270,FNC,13-5,Regular Season: Week 5
184045,119271,FNC,13-5,Regular Season: Week 5
184045,all,FNC,2-0,Regular Season: Week 5
184046,119273,NAVI,13-10,Regular Season: Week 5
184046,119274,NAVI,13-10,Regular Season: Week 5
184046,all,NAVI,2-0,Regular Season: Week 5
184047,119276,FNC,14-12,Regular Season: Week 6
184047,119277,FNC,13-8,Regular Season: Week 6
184047,all,FNC,2-0,Regular Season: Week 6
184048,119279,FUT,13-8,Regular Season: Week 6
184048,119280,FUT,13-5,Regular Season: Week 6
184048,all,FUT,2-0,Regular Season: Week 6
184049,119282,MKOI,13-3,Regular Season: Week 6
184049,119283,BBL,13-4,Regular Season: Week 6
184049,119284,BBL,13-5,Regular Season: Week 6
184049,all,BBL,2-1,Regular Season: Week 6
184050,119285,NAVI,13-11,Regular Season: Week 6
184050,119286,NAVI,13-11,Regular Season: Week 6
184050,all,NAVI,2-0,Regular Season: Week 6
184051,119288,TH,13-9,Regular Season: Week 6
184051,119289,TH,16-14,Regular Season: Week 6
184051,all,TH,2-0,Regular Season: Week 6
184052,119291,GIA,13-6,Regular Season: Week 7
184052,119292,VIT,13-10,Regular Season: Week 7
184052,119293,GIA,13-10,Regular Season: Week 7
184052,all,GIA,2-1,Regular Season: Week 7
184053,119294,NAVI,13-9,Regular Season: Week 7
184053,119295,NAVI,13-11,Regular Season: Week 7
184053,all,NAVI,2-0,Regular Season: Week 7
184054,119297,FNC,13-2,Regular Season: Week 7
184054,119298,FNC,13-10,Regular Season: Week 7
184054,all,FNC,2-0,Regular Season: Week 7
184055,119300,TL,13-11,Regular Season: Week 7
184055,119301,BBL,13-7,Regular Season: Week 7
184055,119302,TL,13-7,Regular Season: Week 7
184055,all,TL,2-1,Regular Season: Week 7
184056,119303,MKOI,13-7,Regular Season: Week 7
184056,119304,TH,13-9,Regular Season: Week 7
184056,119305,MKOI,13-11,Regular Season: Week 7
184056,all,MKOI,2-1,Regular Season: Week 7
184057,119306,FNC,13-9,Regular Season: Week 8
184057,119307,FNC,13-8,Regular Season: Week 8
184057,all,FNC,2-0,Regular Season: Week 8
184058,119309,VIT,13-10,Regular Season: Week 8
184058,119310,VIT,15-13,Regular Season: Week 8
184058,all,VIT,2-0,Regular Season: Week 8
