Region,Player,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Pacific,AbsolZETA,,269,1.03,228.6,1.06,66%,147.4,0.80,0.21,0.12,0.17,21%,17%,5/29,26,214,202,56,33,45
Pacific,KaronGEN,(+1),282,1.02,196.8,1.03,72%,131.7,0.72,0.27,0.07,0.07,28%,17%,9/54,30,203,198,75,20,21
Pacific,AshGEN,(+2),244,1.00,196.0,0.94,69%,131.9,0.68,0.30,0.13,0.14,27%,25%,6/24,25,166,177,73,31,33
Pacific,Kr1stalGE,,230,1.00,182.6,0.96,73%,118.2,0.62,0.26,0.08,0.07,26%,23%,5/22,19,142,148,60,19,17
Pacific,d4v41PRX,(+1),222,1.00,205.1,1.06,74%,131.1,0.71,0.23,0.09,0.09,21%,17%,6/36,30,157,148,52,19,19
Pacific,XuNaVL,(+2),275,1.00,189.6,0.96,69%,130.7,0.67,0.24,0.07,0.03,34%,9%,5/56,24,183,190,66,18,9
Pacific,crazyguyRRQ,,222,0.99,180.8,0.96,72%,113.9,0.61,0.47,0.06,0.09,22%,18%,3/17,20,136,141,104,13,19
Pacific,AutumnGE,(+3),230,0.99,190.3,1.01,75%,126.5,0.67,0.24,0.10,0.12,32%,19%,5/27,25,155,154,56,22,28
Pacific,staxT1,(+1),231,0.99,177.1,1.02,76%,115.4,0.63,0.35,0.06,0.04,29%,35%,7/20,18,146,143,82,15,10
Pacific,JitBoySFS,,244,0.98,200.8,1.00,69%,130.6,0.71,0.20,0.13,0.14,26%,13%,2/15,23,174,174,48,32,35
Pacific,AkameDFM,(+3),217,0.98,218.1,1.01,72%,139.7,0.74,0.27,0.10,0.14,21%,14%,3/21,25,160,159,59,21,31
Pacific,f0rsakeNPRX,(+1),222,0.97,197.5,0.95,76%,132.8,0.68,0.41,0.09,0.06,28%,21%,4/19,21,150,158,90,20,14
Pacific,FrancisNS,,310,0.97,215.7,0.99,71%,136.4,0.76,0.25,0.11,0.16,18%,22%,5/23,26,235,238,77,33,50
Pacific,DambiNS,,310,0.97,210.9,0.96,69%,136.6,0.73,0.25,0.15,0.13,25%,18%,3/17,23,225,234,76,46,39
Pacific,LakiaGEN,,282,0.96,187.2,0.88,76%,122.6,0.65,0.37,0.05,0.05,24%,13%,5/40,26,184,209,105,13,13
